Date,audience_macro,Link_to_Creative,Spend_USD
2024-10,Business · Owner & Growth,https://s3.amazonaws.com/YM_Ads/8173980929977598675.png,75320.2488
2024-10,Business · Owner & Growth,https://s3.amazonaws.com/YM_Ads/IJLKbWtrjnBEAlntMP3lfw.png,72901.5523
2024-10,Consumer · Banking Preferences,https://s3.amazonaws.com/YM_Ads/9NgrMABP-PJ6UKhE--bSkg.mp4,785270.1987
2024-10,Consumer · Banking Preferences,https://s3.amazonaws.com/YM_Ads/2727895697295517437.png,699965.7918
2024-10,Consumer · Banking Preferences,https://s3.amazonaws.com/YM_Ads/-6746662757719933556.png,570619.6278
2024-10,Consumer · Financial Goals,https://s3.amazonaws.com/YM_Ads/su_b-Ohr6vk1Fb0Rpi2s1g.png,104879.9191
2024-10,Consumer · Financial Goals,https://s3.amazonaws.com/YM_Ads/5862201378219076315.png,79537.3608
2024-10,Consumer · Financial Goals,https://s3.amazonaws.com/YM_Ads/tRFzuLEH34RJuNtREYTyJg.png,67330.6689
2024-10,Consumer · Lifestyle & Interests,https://s3.amazonaws.com/YM_Ads/-1488953851984947570.png,256917.30000000002
2024-10,Consumer · Lifestyle & Interests,https://s3.amazonaws.com/YM_Ads/-8641971772527064839.png,112353.0166
2024-10,Consumer · Lifestyle & Interests,https://s3.amazonaws.com/YM_Ads/4h07THjxkPSJLxf6RCJbxw.mp4,73597.6169
2024-10,Consumer · Shopping & Products,https://s3.amazonaws.com/YM_Ads/3598717512360308375.png,207828.4887
2024-10,Consumer · Shopping & Products,https://s3.amazonaws.com/YM_Ads/-2254912833597072302.png,175819.9291
2024-10,Consumer · Shopping & Products,https://s3.amazonaws.com/YM_Ads/rmwUkzZ2fCsBoDLX6bTJKg.png,117355.5273
2024-10,Workforce & Employment,https://s3.amazonaws.com/YM_Ads/WYrjwc97E3qvEGFSg1OmLA.jpg,3629.4674
2024-10,Workforce & Employment,https://s3.amazonaws.com/YM_Ads/liaJEyIq411U4Lht6Vqz6w.jpg,2926.6512
2024-10,Workforce & Employment,https://s3.amazonaws.com/YM_Ads/7N1N-QO96eMPoTqTmPf5fg.mp4,2034.4678
2024-11,Business · Owner & Growth,https://s3.amazonaws.com/YM_Ads/oIvg4HAD_qF66G-9bLp3Fg.png,216100.23
2024-11,Business · Owner & Growth,https://s3.amazonaws.com/YM_Ads/IJLKbWtrjnBEAlntMP3lfw.png,129149.0414
2024-11,Business · Owner & Growth,https://s3.amazonaws.com/YM_Ads/-2593799882523656222.png,103259.5149
2024-11,Consumer · Banking Preferences,https://s3.amazonaws.com/YM_Ads/8535314480578865806.png,511292.0273
2024-11,Consumer · Banking Preferences,https://s3.amazonaws.com/YM_Ads/2727895697295517437.png,392193.9768
2024-11,Consumer · Banking Preferences,https://s3.amazonaws.com/YM_Ads/4ax9BOgIdQo19movTwfooA.mp4,359232.3829
2024-11,Consumer · Financial Goals,https://s3.amazonaws.com/YM_Ads/-4954060316539940705.png,206894.0499
2024-11,Consumer · Financial Goals,https://s3.amazonaws.com/YM_Ads/e0yuxvXQFWD-EmenmwcfFA.png,177193.1851
2024-11,Consumer · Financial Goals,https://s3.amazonaws.com/YM_Ads/su_b-Ohr6vk1Fb0Rpi2s1g.png,169246.1178
2024-11,Consumer · Lifestyle & Interests,https://s3.amazonaws.com/YM_Ads/7667870999251460969.png,328064.6442
2024-11,Consumer · Lifestyle & Interests,https://s3.amazonaws.com/YM_Ads/-7066687179865131895.png,281852.7155
2024-11,Consumer · Lifestyle & Interests,https://s3.amazonaws.com/YM_Ads/h54Xga-tquf2kYnmB9C6Vg.png,122369.6441
2024-11,Consumer · Shopping & Products,https://s3.amazonaws.com/YM_Ads/ZA2v-G3I3yVxlnOVd1bWvQ.png,973541.579
2024-11,Consumer · Shopping & Products,https://s3.amazonaws.com/YM_Ads/-uypsglXY8YjjMjy19PcWQ.png,859875.2241999999
2024-11,Consumer · Shopping & Products,https://s3.amazonaws.com/YM_Ads/3598717512360308375.png,261472.4733
2024-11,Workforce & Employment,https://s3.amazonaws.com/YM_Ads/wFGJFVM7_zSSxKsJjp75EQ.jpg,3387.7119000000002
2024-11,Workforce & Employment,https://s3.amazonaws.com/YM_Ads/3815117183707279523.png,2220.5995000000003
2024-11,Workforce & Employment,https://s3.amazonaws.com/YM_Ads/7N1N-QO96eMPoTqTmPf5fg.mp4,2053.4343
2024-12,Business · Owner & Growth,https://s3.amazonaws.com/YM_Ads/oIvg4HAD_qF66G-9bLp3Fg.png,276939.2974
2024-12,Business · Owner & Growth,https://s3.amazonaws.com/YM_Ads/IJLKbWtrjnBEAlntMP3lfw.png,117059.8411
2024-12,Business · Owner & Growth,https://s3.amazonaws.com/YM_Ads/_VdI34obhe2SE8BxhfLMHA.png,100797.2635
2024-12,Consumer · Banking Preferences,https://s3.amazonaws.com/YM_Ads/4135872406115760760.png,493904.4532
2024-12,Consumer · Banking Preferences,https://s3.amazonaws.com/YM_Ads/-570956462416789518.png,486921.4308
2024-12,Consumer · Banking Preferences,https://s3.amazonaws.com/YM_Ads/2655883329725745036.png,373880.9327
2024-12,Consumer · Financial Goals,https://s3.amazonaws.com/YM_Ads/-1087682468884149667.png,204897.2169
2024-12,Consumer · Financial Goals,https://s3.amazonaws.com/YM_Ads/su_b-Ohr6vk1Fb0Rpi2s1g.png,175933.7896
2024-12,Consumer · Financial Goals,https://s3.amazonaws.com/YM_Ads/5813796951886927491.png,157194.3701
2024-12,Consumer · Lifestyle & Interests,https://s3.amazonaws.com/YM_Ads/7667870999251460969.png,795875.3079
2024-12,Consumer · Lifestyle & Interests,https://s3.amazonaws.com/YM_Ads/jrRHV0enf-uLkdkcQxnZwA.png,421272.0657
2024-12,Consumer · Lifestyle & Interests,https://s3.amazonaws.com/YM_Ads/-7066687179865131895.png,411456.5842
2024-12,Consumer · Shopping & Products,https://s3.amazonaws.com/YM_Ads/3598717512360308375.png,212556.0968
2024-12,Consumer · Shopping & Products,https://s3.amazonaws.com/YM_Ads/4020041023191110778.png,207290.2635
2024-12,Consumer · Shopping & Products,https://s3.amazonaws.com/YM_Ads/-8619405542376602616.png,205502.78280000002
2024-12,Workforce & Employment,https://s3.amazonaws.com/YM_Ads/-7689998534432480708.png,5452.0792
2024-12,Workforce & Employment,https://s3.amazonaws.com/YM_Ads/3815117183707279523.png,4011.9889000000003
2024-12,Workforce & Employment,https://s3.amazonaws.com/YM_Ads/WYrjwc97E3qvEGFSg1OmLA.jpg,1399.1016
