Date,Publisher,Link_to_Creative,Spend_USD
2024-01,allthelyrics.com,https://s3.amazonaws.com/YM_Ads/tZBrHEjyyHkuKFManE3Ebw.png,0.8674
2024-01,allthetests.com,https://s3.amazonaws.com/YM_Ads/rkTHr1Sqo3p3UHplwVFpuA.jpg,12.5494
2024-01,allthetests.com,https://s3.amazonaws.com/YM_Ads/8uY6Bq1H2jGkgFnMMQNyiw.jpg,11.8906
2024-01,allthingsthrifty.com,https://s3.amazonaws.com/YM_Ads/4ySuHeDSo-9TROB5Pp5aOw.gif,2.5778
2024-01,allure.com (Condé Nast),https://s3.amazonaws.com/YM_Ads/4n9rFqTR2_1leGQDC3cvnw.png,331.488
2024-01,almanac.com,https://s3.amazonaws.com/YM_Ads/7TO2F1cU5z_jBlxTpkNPWw.png,120.5393
2024-01,almanac.com,https://s3.amazonaws.com/YM_Ads/BqZNEalopcEBoud8U1x-8w.jpg,103.1728
2024-01,almanac.com,https://s3.amazonaws.com/YM_Ads/e2bAmrJinH3NXcFrWJt0mQ.png,47.8018
2024-01,alt987fm.iheart.com,https://s3.amazonaws.com/YM_Ads/ujNPJlQ1tPZQKgrP_jrFmQ.jpg,1.4797
2024-01,alt987fm.iheart.com,https://s3.amazonaws.com/YM_Ads/4vrnnpGNWdI2N8X4rbgGzA.jpg,1.4511
2024-01,am860theanswer.com,https://s3.amazonaws.com/YM_Ads/XHXS-oceIvgjHTYmNxVG7w.png,4.2984
2024-01,am860theanswer.com,https://s3.amazonaws.com/YM_Ads/e2bAmrJinH3NXcFrWJt0mQ.png,1.1087
2024-01,amazingribs.com,https://s3.amazonaws.com/YM_Ads/KE10Flq3DCC_RRe15H8afg.png,223.1176
2024-01,amazingribs.com,https://s3.amazonaws.com/YM_Ads/TDQhw1fPW04S5XqkkIMe4w.jpg,19.1718
2024-01,amazingribs.com,https://s3.amazonaws.com/YM_Ads/-netviwGysIsx7NSBVvxwQ.gif,3.194
2024-01,amazon.com,https://s3.amazonaws.com/YM_Ads/VyYJFepiGtp6QCd1JwQkHQ.png,1314.8776
2024-01,amazon.com,https://s3.amazonaws.com/YM_Ads/a6tY8VJ2w6C7E_tDitCYXA.png,1302.1619
2024-01,amazon.com,https://s3.amazonaws.com/YM_Ads/ZrRdVG4oHKt4prTJmvvmRQ.png,1234.7671
2024-01,americansongwriter.com,https://s3.amazonaws.com/YM_Ads/uQdQJc9vywsoT0-xcnKE4w.png,60.7435
2024-01,amgreatness.com,https://s3.amazonaws.com/YM_Ads/e2bAmrJinH3NXcFrWJt0mQ.png,121.8078
2024-01,ana-white.com,https://s3.amazonaws.com/YM_Ads/dZ6F2Yt9W1fDJ-Tuom9-JA.png,243.7201
