Date,Category_Level_8,Link_to_Creative,Spend_USD
2024-04,Credit Reports & Reporting Services,https://s3.amazonaws.com/YM_Ads/MwAKWwbMXy2-z7abpc52Lg.png,54.6706
2024-04,Credit Reports & Reporting Services,https://s3.amazonaws.com/YM_Ads/uDCngyUOdzO1zigktxmLxw.png,34.7686
2024-04,Finance Careers,https://s3.amazonaws.com/YM_Ads/cmZ4ZI_gUyJXaHIJNqyRzQ.mp4,22528.5452
2024-04,Finance Careers,https://s3.amazonaws.com/YM_Ads/kejJB1JzIU3aWpml-h7lZQ.mp4,9519.643900000001
2024-04,Finance Careers,https://s3.amazonaws.com/YM_Ads/rusnyBWIxY5DjNl085AJzg.mp4,7102.8544
2024-04,Financial Services,https://s3.amazonaws.com/YM_Ads/1996850903291247482.png,210113.4278
2024-04,Financial Services,https://x-ad-assets.s3.amazonaws.com/media_asset/cba235434a479f7d/media,200935.228
2024-04,Financial Services,https://x-ad-assets.s3.amazonaws.com/media_asset/f0ef4109b81de206/media,121230.9287
2024-04,Savings Accounts,https://s3.amazonaws.com/YM_Ads/-6059698801507964296.png,299009.2038
2024-04,Savings Accounts,https://s3.amazonaws.com/YM_Ads/645233030685019561.png,224641.6158
2024-04,Savings Accounts,https://s3.amazonaws.com/YM_Ads/3492847191385455598.png,160838.0613
2024-05,All Categories,https://x-ad-assets.s3.amazonaws.com/media_asset/f4b92465c50feaac/media,48667.8953
2024-05,Business Banking,https://s3.amazonaws.com/YM_Ads/3-BytOcPwuzEn6MQyaYShw.png,52.8892
2024-05,Business Credit Cards,https://x-ad-assets.s3.amazonaws.com/media_asset/22388a0f8154ab1c/media,795294.3609
2024-05,Business Credit Cards,https://x-ad-assets.s3.amazonaws.com/media_asset/46ce1a492a28ae2a/media,472302.3971
2024-05,Business Credit Cards,https://x-ad-assets.s3.amazonaws.com/media_asset/3e1a9b9a207d8315/media,281242.5651
2024-05,Business Finance & Business Solutions,https://s3.amazonaws.com/YM_Ads/YjrYpg0YS-wn1GovCHUcwg.png,562.338
2024-05,Business Finance & Business Solutions,https://s3.amazonaws.com/YM_Ads/g3VJB0hRmHqd49UOV2D1bw.png,155.2556
2024-05,Car Buying Services,https://s3.amazonaws.com/YM_Ads/1aGGjodIReSiYx2VQEDFVA.png,151365.1849
2024-05,Car Buying Services,https://s3.amazonaws.com/YM_Ads/Jmvcxyv5snbJrHiRw4JlUA.png,149065.8533
2024-05,Car Buying Services,https://s3.amazonaws.com/YM_Ads/7TO2F1cU5z_jBlxTpkNPWw.png,142235.22090000001
2024-05,Cardholder Benefits,https://s3.amazonaws.com/YM_Ads/-4082237279947609541.png,52045.1477
2024-05,Cardholder Benefits,https://s3.amazonaws.com/YM_Ads/6804384737847106484.png,40478.871
2024-05,Cardholder Benefits,https://s3.amazonaws.com/YM_Ads/-6105673657324680194.png,23059.105499999998
2024-05,Certificate of Deposit Accounts,https://s3.amazonaws.com/YM_Ads/-6116376933397611734.png,274488.2779
2024-05,Certificate of Deposit Accounts,https://s3.amazonaws.com/YM_Ads/-1546008475454073983.png,70774.2691
2024-05,Certificate of Deposit Accounts,https://s3.amazonaws.com/YM_Ads/5001516065907739860.png,54057.551799999994
